iter	Passed	Remaining
179	238827	1087992
180	240526	1088350
181	240583	1081303
182	242110	1080897
183	242126	1073778
184	243498	1072710
185	244863	1071608
186	246232	1070520
187	247601	1069429
188	247625	1062564
189	249003	1061539
190	250593	1061412
191	250622	1054702
192	252059	1053950
193	252094	1047359
194	252131	1040852
195	253590	1040238
196	254979	1039331
197	255709	1035751
198	257115	1034921
199	257162	1028651
200	258542	1027737
201	259950	1026933
202	261303	1025906
203	261338	1019734
204	261355	1013548
205	261371	1007421
206	261418	1001472
207	262787	1000615
208	264157	999754
209	265622	999248
210	267050	998593
211	267068	992689
212	268556	992272
213	270017	991747
214	271374	990831
215	272719	989868
216	272947	984873
217	272966	979174
218	272982	973513
219	274383	972814
220	275768	972052
221	277138	971233
222	278537	970508
223	279913	969700
224	279930	964204
225	279946	958756
226	281372	958154
227	282839	957684
228	284332	957295
229	284350	951954
230	284375	946687
231	285864	946310
232	287241	945555
233	288611	944769
234	289966	943934
235	289983	938758
236	289998	933624
237	290015	928536
238	290039	923514
239	291378	922698
240	291404	917741
241	292785	917071
242	292820	912202
243	294260	911726
244	295605	910948
245	297061	910505
246	298567	910208
247	300039	909798
248	300059	904999
249	301482	904448
250	302984	904126
251	304386	903497
252	305763	902787
253	305779	898077
254	307161	897394
255	308545	896711
256	308563	892073
257	308579	887466
258	308596	882896
259	308612	878359
260	310058	877903
261	311379	877091
262	312781	876501
263	312816	872094
264	314343	871859
265	315857	871576
266	317383	871317
267	317399	866926
268	318757	866214
269	320151	865594
270	321535	864941
271	322876	864168
272	324246	863469
273	325660	862881
274	327117	862400
275	328604	861991
276	330237	861956
277	331817	861770
278	333454	861721
279	334934	861259
280	336327	860567
281	337733	859901
282	339124	859195
283	339141	855017
284	340600	854490
285	340620	850361
286	342034	849722
287	343374	848897
288	343390	844811
289	344846	844280
290	346362	843886
291	347840	843392
292	347856	839366
293	347882	835391
294	349332	834845
295	350684	834061
296	350708	830127
297	350724	826203
298	352119	825538
299	353499	824831
300	354861	824081
301	356207	823287
302	356223	819431
303	356248	815620
304	357613	814889
305	358984	814167
306	360332	813389
307	360351	809621
308	360371	805878
309	361858	805427
310	361877	801715
311	361892	798020
312	363409	797644
313	364887	797175
314	366239	796426
315	366256	792782
316	366272	789161
317	366289	785563
318	367680	784923
319	367728	781424
320	367745	777878
321	367761	774355
322	367778	770854
323	367794	767374
324	369161	766720
325	369177	763267
326	370539	762609
327	371951	762046
328	373300	761352
329	373336	757985
330	373351	754599
331	374734	753983
332	376095	753319
333	377543	752825
334	379103	752548
335	380558	752056
336	382039	751608
337	383409	750938
338	384791	750285
339	386174	749632
340	387634	749124
341	388981	748390
342	390405	747802
343	391780	747116
344	393222	746552
345	394677	746008
346	396106	745410
347	397518	744776
348	397535	741534
349	398946	740901
350	400339	740229
351	400356	737019
352	400389	733858
353	401775	733183
354	403206	732585
355	404570	731863
356	405935	731138
357	405951	727992
358	407301	727242
359	408673	726529
360	410148	725996
361	411673	725545
362	413142	724990
363	414486	724212
364	415838	723445
365	415855	720362
366	417230	719637
367	418583	718871
368	419899	718039
369	421357	717446
370	422682	716623
371	422706	713601
372	424104	712904
373	425615	712393
374	427025	711709
375	428508	711141
376	428525	708147
377	428547	705175
378	430017	704593
379	431365	703806
380	431381	700853
381	432740	700088
382	434123	699357
383	434139	696432
384	435508	695682
385	435542	692805
386	436899	692040
387	438226	691223
388	438242	688345
389	438317	685573
390	439704	684858
391	441162	684251
392	442663	683706
393	444153	683139
394	445670	682609
395	445686	679785
396	447107	679107
397	448490	678370
398	449835	677571
399	451224	676837
400	452616	676102
401	452632	673318
402	454021	672582
403	454408	670364
404	455752	669562
405	457156	668844
406	458668	668280
407	460111	667612
408	461534	666911
409	462967	666222
410	464373	665488
411	464397	662781
412	464413	660074
413	465783	659297
414	467177	658550
415	467193	655868
416	467209	653197
417	467225	650539
418	467242	647894
419	467258	645262
420	468627	644502
421	469980	643717
422	470028	641149
423	470044	638550
424	470061	635964
425	471421	635201
426	472885	634574
427	472905	632013
428	474408	631438
429	475944	630902
430	477362	630207
431	477379	627665
432	477413	625158
433	477430	622639
434	477446	620131
435	478796	619360
436	480179	618629
437	481668	618030
438	483131	617395
439	483147	614915
440	484528	614175
441	485916	613442
