iter	RMSE
0	74.58542326
1	72.03679895
2	69.67196895
3	67.43197133
4	65.37285284
5	63.32887546
6	61.52981535
7	59.76570875
8	58.10046265
9	56.54282677
10	55.10499881
11	53.71670608
12	52.46766998
13	51.2909056
14	50.19429579
15	49.14623884
16	48.13579353
17	47.2552655
18	46.37441715
19	45.53933302
20	44.75174371
21	44.02380599
22	43.39408987
23	42.8177531
24	42.24534505
25	41.72588026
26	41.24145877
27	40.74454348
28	40.29936982
29	39.90371875
30	39.54608896
31	39.16608786
32	38.8411047
33	38.55625773
34	38.24969459
35	37.98630706
36	37.75192197
37	37.49718712
38	37.27614481
39	37.038091
40	36.81424264
41	36.63023987
42	36.44556402
43	36.23328142
44	36.0699502
45	35.91089068
46	35.7840656
47	35.65360563
48	35.54307808
49	35.43676366
50	35.33178658
51	35.22663419
52	35.11386687
53	35.02011101
54	34.89124376
55	34.8063546
56	34.6871508
57	34.58457661
58	34.49753895
59	34.43620352
60	34.34320777
61	34.23881295
62	34.15642869
63	34.07461047
64	33.98906557
65	33.92442846
66	33.85872266
67	33.76311521
68	33.72061507
69	33.68046097
70	33.61695188
71	33.52481404
72	33.44663972
73	33.37972519
74	33.29332698
75	33.23201063
76	33.18742414
77	33.13384886
78	33.08839413
79	33.06283712
80	32.99727576
81	32.9633423
82	32.92968325
83	32.90287387
84	32.85483675
85	32.79966607
86	32.73502594
87	32.71547276
88	32.68062064
89	32.62267373
90	32.59183044
91	32.55270954
92	32.51286504
93	32.4857622
94	32.46248598
95	32.42014631
96	32.36500257
97	32.32441866
98	32.28960539
99	32.20244292
100	32.17162266
101	32.1411547
102	32.09903058
103	32.07982359
104	32.03980348
105	32.00271443
106	31.93801815
107	31.91084815
108	31.89134478
109	31.82375067
110	31.78932432
111	31.77140294
112	31.74220619
113	31.67643949
114	31.65779809
115	31.65247413
116	31.62880799
117	31.59874141
118	31.57075269
119	31.52045558
120	31.49342865
121	31.46394724
122	31.46377464
123	31.42882144
124	31.38129089
125	31.34547187
126	31.32951599
127	31.32119458
128	31.30885316
129	31.28810468
130	31.21166211
131	31.21164672
132	31.18523445
133	31.15428057
134	31.1298313
135	31.09756027
136	31.0684657
137	31.05187826
138	31.03654611
139	31.00926237
140	30.97577564
141	30.9595895
142	30.94601254
143	30.94585013
144	30.94511065
145	30.88496281
146	30.86097143
147	30.86096978
148	30.80466422
149	30.79649526
150	30.74721617
151	30.70418562
152	30.69361261
153	30.69273722
154	30.69257372
155	30.69254778
156	30.69252689
157	30.64919594
158	30.63433781
159	30.63414908
160	30.62453138
161	30.62447986
162	30.58597619
163	30.57091662
164	30.54596338
165	30.4868223
166	30.46789412
167	30.44677379
168	30.42512272
169	30.3719568
170	30.37188147
171	30.29383892
