iter	RMSE
172	30.24332014
173	30.21533021
174	30.18596935
175	30.14091711
176	30.13394117
177	30.11285821
178	30.0665253
179	30.02900088
180	29.99272482
181	29.99267866
182	29.95080561
183	29.9508056
184	29.93295884
185	29.91939592
186	29.90268473
187	29.8811375
188	29.88110863
189	29.87201272
190	29.83048569
191	29.83047683
192	29.82222568
193	29.82221458
194	29.82220455
195	29.78582486
196	29.76861108
197	29.71981761
198	29.68847676
199	29.68836692
200	29.65146852
201	29.61687744
202	29.59997785
203	29.59995775
204	29.59995774
205	29.59995772
206	29.59994153
207	29.57998448
208	29.55275994
209	29.51992372
210	29.50935602
211	29.50935602
212	29.48794166
213	29.39285104
214	29.38243441
215	29.37570827
216	29.37362081
217	29.37362081
218	29.3736208
219	29.346551
220	29.30572262
221	29.27525241
222	29.23981423
223	29.20954262
224	29.20954262
225	29.20954262
226	29.20037664
227	29.18285145
228	29.16761006
229	29.16761003
230	29.16760402
231	29.12014068
232	29.0710102
233	29.05066242
234	29.04478584
235	29.04478581
236	29.04478579
237	29.04478577
238	29.04477759
239	29.02496235
240	29.02495567
241	29.00551385
242	29.00549656
243	28.94157856
244	28.92686655
245	28.91043888
246	28.86808446
247	28.84155827
248	28.84155826
249	28.82138608
250	28.80541852
251	28.75758228
252	28.71631639
253	28.71631638
254	28.69596774
255	28.6760308
256	28.67603079
257	28.67603079
258	28.67603078
259	28.67603078
260	28.64358874
261	28.63777189
262	28.61392094
263	28.61391943
264	28.60640674
265	28.5885217
266	28.57131767
267	28.57131766
268	28.55939202
269	28.54489859
270	28.52330881
271	28.51535385
272	28.50550592
273	28.49146648
274	28.47085053
275	28.44367288
276	28.40381274
277	28.38422819
278	28.35203424
279	28.34390086
280	28.31891744
281	28.27984338
282	28.25188688
283	28.25188688
284	28.23562252
285	28.23562252
286	28.20713249
287	28.20123687
288	28.20123687
289	28.13247928
290	28.11034362
291	28.10073358
292	28.10073358
293	28.10072363
294	28.05184532
295	28.0388459
296	28.03883718
297	28.03883718
298	28.00072466
299	27.99178126
300	27.96162413
301	27.94704895
302	27.94704895
303	27.9470448
304	27.92817874
305	27.90571405
306	27.89339609
307	27.89339609
308	27.89339609
309	27.87889554
310	27.87889554
311	27.87889554
312	27.84182093
313	27.79409436
314	27.78598088
315	27.78598086
316	27.78598084
317	27.78598082
318	27.77138261
319	27.77132866
320	27.77132866
321	27.77132865
322	27.77132865
323	27.77132865
324	27.74253352
325	27.74253352
326	27.73171779
327	27.71105635
328	27.69716847
329	27.69703862
330	27.69703862
331	27.67863586
332	27.65174001
333	27.63951623
334	27.60069267
335	27.586012
336	27.55278534
337	27.53768395
338	27.50961797
339	27.49662724
340	27.45447521
341	27.44768122
342	27.40736113
343	27.38737009
344	27.37841436
345	27.36312913
346	27.35874347
347	27.35125121
348	27.35125116
349	27.33544722
350	27.31954531
351	27.31954525
352	27.31952013
353	27.30145145
354	27.26935819
355	27.25928744
356	27.2199825
357	27.21998249
358	27.21511131
359	27.20820615
360	27.19874804
361	27.17660302
362	27.16251961
363	27.1566636
364	27.14964404
365	27.14964398
366	27.135994
367	27.11955453
368	27.11723288
369	27.0694577
370	27.06528813
371	27.06527203
372	27.04986595
373	26.9974064
374	26.98953915
375	26.98015739
376	26.98015737
377	26.98015736
378	26.95029867
379	26.93141814
380	26.93141813
381	26.91605451
382	26.89678153
383	26.89678153
384	26.85671588
385	26.85670065
386	26.8514343
387	26.84628793
388	26.84628793
389	26.8460553
390	26.82795509
391	26.8202118
392	26.80752622
393	26.78932323
394	26.74840012
395	26.74840011
396	26.72930672
397	26.71432698
398	26.69499491
399	26.68907196
400	26.67719331
401	26.67719329
402	26.65934928
403	26.65310019
404	26.64843422
405	26.63826019
406	26.62661741
407	26.62466389
408	26.60727614
409	26.58907132
410	26.57993469
411	26.57991284
412	26.57991283
413	26.56457127
414	26.54943774
415	26.54943773
416	26.54943772
417	26.54943772
418	26.54943771
419	26.54943771
420	26.53469788
421	26.50353194
422	26.50346876
423	26.50346875
424	26.50346875
425	26.4741979
426	26.46189017
427	26.46189017
428	26.45152535
429	26.4356009
430	26.42086849
431	26.42086849
432	26.42078699
433	26.42078699
434	26.42078699
435	26.41579992
436	26.40137427
437	26.37126143
438	26.33237082
439	26.33237081
440	26.31506214
441	26.2987764
